item;realizacao;correcao;valor;classe;sexo;participante;periodo
ouviu;nao;nao;morfemico;verbo;feminino;03F20;inicio
poupava;nao;nao;morfemico;verbo;feminino;03F20;inicio
entrou;nao;nao;morfemico;verbo;feminino;03F20;inicio
pouco;nao;nao;nao morfemico;nao verbo;feminino;03F20;inicio
passageira;nao;nao;nao morfemico;nao verbo;feminino;03F20;inicio
beijava;nao;nao;morfemico;verbo;feminino;03F20;inicio
apaixonadamente;nao;nao;nao morfemico;nao verbo;feminino;03F20;inicio
deitado;sim;nao;nao morfemico;nao verbo;feminino;03F20;inicio
comecou;nao;nao;morfemico;verbo;feminino;03F20;inicio
primeira;nao;nao;nao morfemico;nao verbo;feminino;03F20;inicio
acompanhou;sim;nao;morfemico;verbo;feminino;03F20;inicio
mostrou;sim;nao;morfemico;verbo;feminino;03F20;inicio
deitados;sim;nao;morfemico;nao verbo;feminino;03F20;inicio
revolucionario;nao;nao;nao morfemico;nao verbo;feminino;03F20;inicio
beijo;nao;nao;nao morfemico;nao verbo;feminino;03F20;inicio
dinheiro;nao;nao;nao morfemico;nao verbo;feminino;03F20;inicio
ouviu;nao;nao;morfemico;verbo;feminino;04F18;inicio
poupava;nao;nao;morfemico;verbo;feminino;04F18;inicio
entrou;nao;nao;morfemico;verbo;feminino;04F18;inicio
pouco;nao;nao;nao morfemico;nao verbo;feminino;04F18;inicio
passageira;nao;nao;nao morfemico;nao verbo;feminino;04F18;inicio
beijava;nao;nao;morfemico;verbo;feminino;04F18;inicio
apaixonadamente;sim;nao;nao morfemico;nao verbo;feminino;04F18;inicio
deitado;sim;nao;nao morfemico;nao verbo;feminino;04F18;inicio
comecou;nao;nao;morfemico;verbo;feminino;04F18;inicio
primeira;nao;nao;nao morfemico;nao verbo;feminino;04F18;inicio
acompanhou;nao;nao;morfemico;verbo;feminino;04F18;inicio
mostrou;nao;nao;morfemico;verbo;feminino;04F18;inicio
deitados;sim;nao;morfemico;nao verbo;feminino;04F18;inicio
revolucionario;sim;nao;nao morfemico;nao verbo;feminino;04F18;inicio
beijo;nao;nao;nao morfemico;nao verbo;feminino;04F18;inicio
dinheiro;nao;nao;nao morfemico;nao verbo;feminino;04F18;inicio
ouviu;sim;nao;morfemico;verbo;feminino;08F20;inicio
poupava;nao;nao;morfemico;verbo;feminino;08F20;inicio
entrou;nao;nao;morfemico;verbo;feminino;08F20;inicio
pouco;nao;nao;nao morfemico;nao verbo;feminino;08F20;inicio
passageira;nao;nao;nao morfemico;nao verbo;feminino;08F20;inicio
beijava;nao;nao;morfemico;verbo;feminino;08F20;inicio
apaixonadamente;nao;nao;nao morfemico;nao verbo;feminino;08F20;inicio
deitado;sim;nao;nao morfemico;nao verbo;feminino;08F20;inicio
comecou;sim;nao;morfemico;verbo;feminino;08F20;inicio
primeira;nao;nao;nao morfemico;nao verbo;feminino;08F20;inicio
acompanhou;nao;nao;morfemico;verbo;feminino;08F20;inicio
mostrou;nao;nao;morfemico;verbo;feminino;08F20;inicio
deitados;sim;nao;morfemico;nao verbo;feminino;08F20;inicio
revolucionario;sim;nao;nao morfemico;nao verbo;feminino;08F20;inicio
beijo;nao;nao;nao morfemico;nao verbo;feminino;08F20;inicio
dinheiro;nao;nao;nao morfemico;nao verbo;feminino;08F20;inicio
ouviu;nao;nao;morfemico;verbo;masculino;13M18;inicio
poupava;sim;nao;morfemico;verbo;masculino;13M18;inicio
entrou;nao;nao;morfemico;verbo;masculino;13M18;inicio
pouco;nao;nao;nao morfemico;nao verbo;masculino;13M18;inicio
passageira;nao;nao;nao morfemico;nao verbo;masculino;13M18;inicio
beijava;nao;nao;morfemico;verbo;masculino;13M18;inicio
apaixonadamente;nao;nao;nao morfemico;nao verbo;masculino;13M18;inicio
deitado;sim;nao;nao morfemico;nao verbo;masculino;13M18;inicio
comecou;nao;nao;morfemico;verbo;masculino;13M18;inicio
primeira;nao;sim;nao morfemico;nao verbo;masculino;13M18;inicio
acompanhou;sim;nao;morfemico;verbo;masculino;13M18;inicio
mostrou;nao;nao;morfemico;verbo;masculino;13M18;inicio
deitados;sim;nao;morfemico;nao verbo;masculino;13M18;inicio
revolucionario;sim;nao;nao morfemico;nao verbo;masculino;13M18;inicio
